"r.day" "month" "day" "pow.obs" "ws30" "wd30"
63 3 4 1033.17808219178 5.46712328767138 3.08321296973904
64 3 5 4524.68493150685 8.19863013698651 3.45234138324654
65 3 6 4530.43835616438 16.3404109589034 3.12738560415467
66 3 7 968.041095890411 7.88698630137094 4.93577747041605
67 3 8 3518.46575342466 17.0582191780841 3.69566000338745
68 3 9 395.27397260274 15.4184931506824 4.95505594165758
70 3 11 3474.54794520548 12.0171232876714 4.05963997485382
71 3 12 1990.60273972603 10.0267123287666 5.6455339124934
72 3 13 129.972602739726 8.89589041095896 0.215172060498363
73 3 14 98.0821917808219 5.11027397260241 0.809042718307032
74 3 15 3.24657534246575 2.77602739725977 5.75389264297613
75 3 16 822.643835616438 7.50684931506933 5.25349978030656
76 3 17 1044.38356164384 9.03698630137073 5.8638372137806
77 3 18 240.41095890411 5.87945205479362 5.43916983097731
78 3 19 645.575342465753 8.53561643835631 5.36951526154055
79 3 20 255.369863013699 6.46095890410738 0.849176445151564
80 3 21 2142.43835616438 8.67328767123347 2.62933275782713
81 3 22 1465.93150684932 6.50616438356197 3.47561845528504
82 3 23 604.602739726027 7.46712328767114 4.16264167048732
83 3 24 176.986301369863 4.79589041095872 4.40123827385014
84 3 25 34.3287671232877 4.39931506849485 6.08193219076143
87 3 28 0.438356164383562 1.49452054794482 1.25267995659096
88 3 29 158.58904109589 5.37876712328692 3.1729666397096
89 3 30 2629.50684931507 10.3527397260273 4.80438151213304
90 3 31 1444.58904109589 9.93082191780873 5.85709224241293
91 4 1 3430.96651445967 11.2321917808216 3.65029030028139
92 4 2 1732.48097412481 8.36506849315039 4.89665654011316
93 4 3 2702.08523592085 12.5280821917806 6.12129808074135
94 4 4 2894.27701674277 12.9493150684932 4.65137630721267
95 4 5 3378.84322678843 13.1657534246586 6.01954196920625
96 4 6 4384.85540334855 15.281506849314 0.282252838813025
97 4 7 2301.82648401827 11.0794520547944 0.44859714288142
98 4 8 934.537290715373 7.79383561643919 0.290478302989361
99 4 9 3268.24657534247 11.9253424657536 0.529440774635487
100 4 10 1329.69863013699 10.6883561643848 1.03139563985982
101 4 11 207.72602739726 4.51849315068541 3.77163786376106
102 4 12 1979.38356164384 8.56575342465786 4.11261060329144
103 4 13 18.4109589041096 2.7452054794514 0.354133109692552
105 4 15 555.739726027397 10.5212328767128 2.21166715581643
106 4 16 78.8630136986301 7.34794520547903 2.41195262900142
107 4 17 226.958904109589 3.97260273972636 6.01488181609781
108 4 18 1501.49315068493 9.11027397260343 1.01921656430589
109 4 19 3565.91780821918 13.0294520547955 1.28435007907626
110 4 20 4388.31506849315 15.031506849315 1.71591454135899
111 4 21 2453.69863013699 12.0164383561647 1.99313730559525
112 4 22 343.506849315069 6.66917808219226 1.81332658267789
113 4 23 205.712328767123 4.78698630137049 0.286777506711363
114 4 24 482.369863013699 5.38698630137004 3.18845120345509
115 4 25 927.698630136986 5.6465753424662 2.76828837775192
116 4 26 3445.69863013699 13.729452054796 2.49776657712604
117 4 27 3513.8904109589 10.1856164383592 4.92852872473369
118 4 28 1596.06849315068 10.4054794520563 4.17083711900654
119 4 29 3364.65753424658 14.2623287671251 3.86951361909789
120 4 30 1920 9.04109589041027 3.28732883032611
121 5 1 3177.23287671233 13.7273972602753 4.49986828396315
122 5 2 691.835616438356 7.48493150684982 3.84015692376213
123 5 3 2540.08219178082 12.6294520547956 4.01272477049593
124 5 4 730.958904109589 8.66849315068598 4.17472159817383
125 5 5 2927.39726027397 9.89520547945391 3.4475487647958
126 5 6 1388.75342465753 8.85547945205471 4.14326477106701
127 5 7 1903.02739726027 10.5294520547949 4.47849627861152
128 5 8 1101.3698630137 8.05616438356176 3.59711261589509
129 5 9 799.945205479452 7.58698630137001 4.52264964329412
130 5 10 616.178082191781 7.45890410958967 4.20814056456212
131 5 11 159.369863013699 5.58904109589089 2.2661350480125
132 5 12 1990.2602739726 7.73835616438464 3.11617689302971
133 5 13 2104.02739726027 6.33150684931495 3.44101534208433
134 5 14 2413.83561643836 9.7616438356174 4.09429819329524
135 5 15 3451.06849315068 11.4712328767124 4.73986454025282
136 5 16 537.205479452055 8.5246575342469 4.82310604501201
137 5 17 1161.23287671233 6.74109589041069 2.44229197392396
138 5 18 1311.67123287671 8.76369863013696 3.12731123228112
139 5 19 1218.20547945205 7.11301369863062 3.75952121296531
140 5 20 1183.72602739726 5.7541095890428 4.00671987387283
141 5 21 1055.69863013699 8.72465753424717 4.62522603789022
142 5 22 764.534246575342 5.50136986301507 4.12330721500137
143 5 23 1751.13698630137 9.6006849315076 3.69038964886049
144 5 24 521.904109589041 5.92191780821897 3.30066458333425
145 5 25 166.164383561644 5.43287671232733 5.30342877323721
146 5 26 641.13698630137 5.87534246575298 4.88939916967554
147 5 27 0.849315068493151 3.16849315068532 4.42257564581492
151 5 31 227.041095890411 6.27534246575292 5.35147357105554
152 6 1 2.6027397260274 4.11917808219199 0.657698242486756
153 6 2 1230.6301369863 10.2842465753426 2.26643493441544
154 6 3 266.13698630137 9.60136986301205 2.57779124224396
155 6 4 22.3424657534247 7.81095890410917 2.95660230792482
156 6 5 2103.41095890411 9.18356164383651 4.24147476397682
157 6 6 765.219178082192 8.25753424657507 4.72492822326993
158 6 7 191.506849315068 6.11164383561695 3.99032065548
159 6 8 595.86301369863 4.79452054794544 2.02754634279898
160 6 9 4245.50380517504 20.9102739726078 4.38054129247771
161 6 10 452.181126331811 6.97465753424699 4.0055755127964
162 6 11 2051.60273972603 11.9082191780833 4.28798819482261
163 6 12 1170.93150684932 10.4178082191775 4.47900874332686
164 6 13 1780.27397260274 10.1534246575349 4.86473948023683
165 6 14 1069.15068493151 8.63904109589038 4.93075727775062
166 6 15 1055.95890410959 8.95410958904116 5.1346559126857
167 6 16 125.301369863014 4.9294520547935 5.19203350279967
168 6 17 857.821917808219 6.34794520547912 2.48590187872648
169 6 18 899.876712328767 7.71232876712329 2.99542496596834
170 6 19 3225.64383561644 12.4404109589068 4.35846852509391
171 6 20 3813.04109589041 13.8486301369887 4.88167237956919
172 6 21 3922.17808219178 13.3808219178077 5.19543960286275
173 6 22 933.369863013699 7.8931506849316 4.88215402423102
174 6 23 1523.31506849315 10.4616438356176 2.60844701183435
175 6 24 3549.56164383562 14.5767123287679 4.74677395959736
176 6 25 2148.32876712329 11.1917808219178 5.75501319688106
177 6 26 102.095890410959 4.91232876712245 1.07092655534873
178 6 27 162 3.48082191780753 0.856797120160529
180 6 29 56.4383561643836 7.13904109589268 1.24911522871862
181 6 30 579.821917808219 3.27808219178082 1.98266530444733
182 7 1 2262.21917808219 11.5732876712335 2.01935888936325
183 7 2 135.506849315068 3.36232876712266 3.35659707082148
184 7 3 114.041095890411 2.69863013698594 0.104420601551783
185 7 4 2015.80821917808 10.4931506849313 5.37730550411853
186 7 5 868.767123287671 7.76986301369857 5.92818500972779
187 7 6 1406.95890410959 9.28561643835646 5.07882066591195
188 7 7 645.342465753425 8.64726027397326 5.12370826859292
189 7 8 669.986301369863 8.48493150684908 4.67885086399519
190 7 9 1196.60273972603 8.72123287671239 5.25863670916047
191 7 10 1220.39726027397 5.74452054794359 5.1221000996544
192 7 11 802.027397260274 7.78150684931534 4.06429506887624
193 7 12 3096.95890410959 12.7554794520547 5.02619710315289
194 7 13 373 8.23082191780822 6.24067083410271
195 7 14 1.26027397260274 3.42534246575342 0.700301707337419
196 7 15 90.5068493150685 5.78767123287644 0.624789062737916
197 7 16 798.369863013699 8.28904109588922 1.86385464923881
198 7 17 1267.06849315068 10.5732876712333 2.06376242320261
199 7 18 344 7.22602739726045 3.97904096238886
200 7 19 428.890410958904 6.28082191780915 4.49124158301506
201 7 20 296.753424657534 7.31986301369902 2.6082708213319
202 7 21 807.013698630137 6.05890410958889 2.95340546979562
203 7 22 486.041095890411 4.14863013698738 5.13835453920153
204 7 23 166.424657534247 4.77602739725994 4.19206764630485
205 7 24 112.479452054795 4.15342465753392 3.53828280586063
206 7 25 278.383561643836 5.74657534246593 4.06171572625941
207 7 26 1671.95890410959 8.31301369863115 3.01131674166534
208 7 27 1621.87671232877 5.50342465753475 3.02256583441749
209 7 28 79.8356164383562 8.6993150684901 4.52601226182333
210 7 29 0.123287671232877 2.65068493150685 1.24956465778626
211 7 30 233.534246575342 4.26095890410866 1.80923185827522
212 7 31 668.150684931507 5.44178082191727 1.97299543676495
213 8 1 249.739726027397 6.98493150684884 3.18653013330714
214 8 2 976.41095890411 9.93561643835799 4.37724187849726
215 8 3 1.0958904109589 3.60273972602722 5.42525330350342
216 8 4 47.7671232876712 4.81712328767099 5.38111775100049
217 8 5 309.095890410959 4.27465753424684 5.5976554720775
218 8 6 8 3.40068493150691 0.308043239575636
219 8 7 80.9452054794521 2.7047945205489 3.26179157683022
220 8 8 155.123287671233 4.28219178082087 5.36711772025924
221 8 9 173.383561643836 6.14109589041153 0.880133103005318
222 8 10 3.10958904109589 4.05616438356149 2.98498732184816
223 8 11 150.972602739726 4.84041095890423 3.30402500918062
224 8 12 226.876712328767 9.38972602739711 4.69459161758502
225 8 13 826.13698630137 10.8945205479437 4.62602440702741
226 8 14 2904.75342465753 18.9328767123261 4.85408759037364
227 8 15 4107.72602739726 19.4952054794534 5.36874379963991
228 8 16 2708.38356164384 9.75136986301397 5.52423451606566
229 8 17 201.095890410959 1.90479452054803 4.18034765703246
230 8 18 250.520547945205 6.35890410958919 3.32822745278946
231 8 19 1050.91780821918 7.89726027397206 4.56329231508866
232 8 20 1614.76712328767 13.8287671232875 4.94344881081963
233 8 21 1514.53424657534 11.2986301369845 4.60931365263765
234 8 22 3280.79452054795 16.8068493150688 4.59121366989149
235 8 23 3371.79452054795 17.3787671232868 5.18593275701334
236 8 24 846.821917808219 8.88082191780855 6.12651210748416
237 8 25 309.972602739726 9.86438356164219 6.1710803585368
238 8 26 480.972602739726 7.26164383561632 5.62782065716111
239 8 27 3413.02739726027 13.6746575342438 5.5454224609697
240 8 28 170.232876712329 3.29246575342415 4.31601406213037
241 8 29 354.493150684931 3.85753424657504 2.54298050100078
242 8 30 493.86301369863 7.44383561643916 0.0538428650755863
243 8 31 792.356164383562 8.51095890410977 4.916196104096
244 9 1 677.164383561644 7.22054794520416 0.236231012989473
245 9 2 192.780821917808 8.03698630136998 5.81025573990003
248 9 5 10.3698630136986 3.61027397260325 3.16919684743381
249 9 6 2661.15068493151 11.8123287671242 2.92822990271923
250 9 7 962.712328767123 10.9780821917821 3.3628707296269
251 9 8 1046.31506849315 9.89246575342403 2.60181610591451
252 9 9 4092.34246575342 14.5390410958908 2.58995166326132
253 9 10 2.71232876712329 5.47739726027323 1.13538733750503
254 9 11 1504.38356164384 8.08904109588796 1.51278922579828
255 9 12 52.7397260273973 4.33493150684955 4.53466615346687
256 9 13 627.301369863014 6.35547945205512 0.166653229106047
257 9 14 662.904109589041 4.38630136986304 4.58233197396016
258 9 15 1576.93150684932 13.1493150684932 4.65925769079556
259 9 16 485.465753424658 11.7972602739722 5.02965996301134
260 9 17 442.068493150685 8.47808219178004 5.0987852554924
261 9 18 2541.78082191781 15.432876712329 4.25297535063062
262 9 19 1866.42465753425 16.5575342465755 4.57361188506054
263 9 20 14.7123287671233 10.9109589041101 4.26028660781328
264 9 21 2689.27397260274 18.9794520547934 4.52553816185956
265 9 22 2740.2602739726 19.5212328767126 3.84251124814812
266 9 23 3494.87671232877 19.4609589041123 4.95142701796908
267 9 24 1415.76712328767 10.1636986301366 5.41123550069897
268 9 25 2304.57534246575 10.1979452054792 4.51710494528525
269 9 26 1157.3698630137 14.3575342465768 3.67862519684065
270 9 27 2817.52054794521 13.1000000000006 5.41490356100006
272 9 29 165.082191780822 3.30479452054792 0.124984468201386
273 9 30 5.23287671232877 3.22945205479479 6.1143836192197
274 10 1 44.5890410958904 4.52054794520509 2.69616019935741
275 10 2 124.41095890411 5.06986301369845 5.44181125680929
276 10 3 1018.97260273973 9.7691780821902 4.24562390224254
277 10 4 647.123287671233 10.1102739726027 5.04092136048877
278 10 5 1274.80821917808 8.53287671232859 5.23735040281783
279 10 6 3096.8904109589 12.62397260274 4.32370623154322
280 10 7 953.054794520548 6.60616438356066 5.68929597955877
281 10 8 1313.28767123288 14.0376712328812 5.41878967638964
282 10 9 3551.02739726027 16.1287671232878 5.5869087858577
283 10 10 3005.28767123288 20.612328767122 4.7384128248261
284 10 11 3697.84931506849 19.3184931506841 5.28385415419445
285 10 12 1007.23287671233 11.4856164383557 5.98020020111591
286 10 13 677.712328767123 10.6082191780824 0.134867099738871
287 10 14 699.86301369863 8.22876712328815 0.822715798778082
288 10 15 101.712328767123 8.23013698630137 0.423840338060404
289 10 16 32.4931506849315 8.13698630136992 0.526205435435527
290 10 17 14.8356164383562 3.28219178082201 9.45643797727172e-05
291 10 18 542.041095890411 7.24041095890438 5.28215215877462
292 10 19 1212.56164383562 5.10136986301454 6.17145162223047
293 10 20 3094.71232876712 10.4671232876714 0.961050203683029
294 10 21 3684.83561643836 13.9979452054808 1.52472410430201
295 10 22 3153.64383561644 9.08835616438386 1.33861263352657
296 10 23 702.616438356164 7.03219178082171 0.368093621334471
297 10 24 648.342465753425 1.9020547945207 4.93848884531924
298 10 25 1644.15068493151 12.6335616438356 5.52676055119198
299 10 26 787 9.32328767123359 0.315217506536799
300 10 27 1869.64383561644 11.2801369863032 5.24110877413502
301 10 28 2551.52054794521 12.6239726027386 4.76140430084741
302 10 29 2564.56164383562 11.1547945205486 3.67502374638297
303 10 30 449.520547945205 5.71438356164291 3.00809336198757
304 10 31 781.808219178082 6.10273972602734 3.08773697754497
