"time";"SLV"
"2009-7-17";0.0624012638230647
"2009-7-24";0.0289962825278811
"2009-7-31";0.0137283236994219
"2009-8-7";0.00855310049893093
"2009-8-17";-0.0303886925795053
"2009-8-24";0.0233236151603497
"2009-8-31";0.0512820512820513
"2009-9-8";0.0880758807588075
"2009-9-15";0.0672478206724783
"2009-9-22";-0.0350058343057177
"2009-9-29";-0.00967351874244257
"2009-10-6";0.0531135531135532
"2009-10-13";0.0179710144927536
"2009-10-20";-0.0113895216400911
"2009-10-27";-0.0864055299539171
"2009-11-3";0.0807061790668349
"2009-11-10";0.00875145857642932
"2009-11-17";0.0543666859456334
"2009-11-24";0.0159078442128359
"2009-12-2";0.00539956803455731
"2009-12-9";-0.0821697099892589
"2009-12-16";-0.0175541252194266
"2009-12-23";0.0226325193567601
